"","Date","Ptt","Latitude","Longitude","day.at.liberty","month","DistfromStart","bathy_depth","DistToShelf","DistToShore","MinTempFromSeries","MeanTempFromSeries","MaxTempFromSeries","MinDepthFromSeries","MaxDepthFromSeries","MeanDepthFromSeries","MinTemp","MaxTemp","MinDepth","MaxDepth","MeanTempPDT","MeanDepthPDT","DistTravelled","date","rs_gsla","rs_vcur","rs_ucur","rs_current_velocity","rs_current_bearing","rs_sst_interpolated","degree_angle","radius"
"45",2022-05-08,227151,-35.3875,151.525,45,"May",680.817984914462,-4853.8701171875,54.4799902844161,71.7323940750634,17.1,17.2354166666667,17.6,58,81,68.8194444444444,16.6,17.6,57,81,17.2333333333333,30.3571428571429,5.35887591648783,2022-05-08,0.569178886972975,-0.53560801428288,-0.328689362611204,0.628420752408615,31.5364089226437,22.5600000000001,58.4635910773563,1.02038215683945
"46",2022-05-09,227151,-35.36875,151.5875,46,"May",686.85579084917,-4861,58.7561117626886,75.8630678496719,16.8,17.2013888888889,18.9,62.5,75,69.9427083333333,16.8,19,56,77,17.5666666666667,30.3571428571429,6.04815103736778,2022-05-09,0.601681595532022,-0.50783574687562,-0.275128561182915,0.577574991653292,28.4473653855523,22.3800000000001,61.5526346144478,1.07429613729914
"47",2022-05-10,227151,-35.225,151.5125,47,"May",704.228926169379,-4728.75244140625,45.6908441551452,63.7231347246554,16,16.6590277777778,17.8,63.5,74,69.7604166666667,16.2,17.8,60,76,16.55,30.5,17.3462139793625,2022-05-10,0.577571605145499,-0.64959638655334,-0.285962797369264,0.70975360999604,23.759867708292,22.6300000000001,66.240132291708,1.15610840544692
"48",2022-05-11,227151,-35.1125,151.4125,48,"May",719.692074669087,-3745.62744140625,33.0249308164105,52.2785294891245,16.4,17.2125,17.9,68.5,76,72.5416666666667,NA,NA,NA,NA,17.2,30.3571428571429,15.4522523059595,2022-05-11,0.506157203241115,-0.727724962995743,-0.275586345810508,0.778159017016666,20.7414635512172,23.02,69.2585364487828,1.20878949614376
"49",2022-05-12,227151,-35.00625,151.55,49,"May",736.902850399943,-4191.4326171875,42.1347811242492,64.459845444011,17.4,17.6583333333333,17.8,Inf,-Inf,NA,NA,NA,NA,NA,NA,NA,17.2126211844223,2022-05-12,0.519432957441289,-0.587795461828392,-0.241405093616956,0.635436797935297,22.3277472747417,22.7900000000001,67.6722527252583,1.18110362229746
"50",2022-05-13,227151,-34.90625,151.61875,50,"May",749.666051619206,-4765,46.8002879240381,71.7904008911775,17.6,17.7284722222222,17.9,64,74,71.25,NA,NA,NA,NA,17.7,30.5,12.7478302476394,2022-05-13,0.493491828544397,-0.555750537896937,-0.233622754947889,0.602858401286883,22.8005905365086,22.95,67.1994094634914,1.17285095053376
"51",2022-05-14,227151,-34.7875,151.64375,51,"May",763.066083667374,-4201.12744140625,46.371689081348,72.3346867257882,17.1,17.5572916666667,17.6,55.5,75,71.6875,NA,NA,NA,NA,17.6,30.3571428571429,13.3708055631515,2022-05-14,0.45793722246807,-0.511040239268765,-0.233622754947889,0.561908994216429,24.5675756348713,23.0500000000001,65.4324243651287,1.14201124273366
"52",2022-05-15,227151,-34.6875,151.61875,52,"May",774.417809887302,-3225.24755859375,40.490713649901,67.5897125976219,16.8,17.0715277777778,17.7,55.5,75,71.0729166666667,NA,NA,NA,NA,17.3,30.3571428571429,11.3273618912353,2022-05-15,0.411700975081257,-0.520043336944745,-0.27192406878977,0.586845611287849,27.6044976760423,23.4100000000001,62.3955023239577,1.08900695398883
"53",2022-05-16,227151,-34.5875,151.65625,53,"May",786.054532083387,-2930.87744140625,39.4134612804293,68.4997134262778,16.3,16.890625,17.9,Inf,-Inf,NA,NA,NA,NA,NA,17.0333333333333,30.3571428571429,11.6140241852426,2022-05-16,0.401171928646636,-0.502800115972106,-0.271466284162178,0.57140344771307,28.3650072643558,23.22,61.6349927356442,1.07573355767978
"54",2022-05-17,227151,-34.4875,151.70625,54,"May",798.080267722868,-3071.81005859375,38.4339767941803,64.9302614859613,16.9,17.23125,18.6,49.5,74.5,69.015625,NA,NA,NA,NA,17.9333333333333,28.0714285714286,12.005287642483,2022-05-17,0.35142599911495,-0.171364045595349,-0.0975081256771398,0.197163563306899,29.64037725513,NA,60.35962274487,1.05347415215964
