Date,Ptt,Latitude,Longitude,day.at.liberty,month,DistfromStart,bathy_depth,DistToShelf,DistToShore,MinTemp,MaxTemp,MinDepth,MaxDepth,MeanTempPDT,MeanDepthPDT,DistTravelled
2023-06-13,227150,-32.35,159.3,190,Jun,999.07684305313,-3319.24755859375,52.4364693374416,85.8306641766862,19.3,19.3,22,70,19.25,22.27777777777778,0
2023-06-13,227150,-32.35,159.3,190,Jun,999.07684305313,-3319.24755859375,52.4364693374416,85.8306641766862,19.3,19.3,22,70,19.25,22.27777777777778,0
2023-06-14,227150,-32.35,159.3,191,Jun,999.07684305313,-3319.24755859375,52.4364693374416,85.8306641766862,19.2,19.2,18,68,19.14,21.5,0
2023-06-14,227150,-32.35,159.3,191,Jun,999.07684305313,-3319.24755859375,52.4364693374416,85.8306641766862,19.2,19.2,18,68,19.14,21.5,0
2023-06-14,227150,-32.35,159.3,191,Jun,999.07684305313,-3319.24755859375,52.4364693374416,85.8306641766862,19.2,19.2,18,68,19.14,21.5,0
2023-06-15,227150,-32.35,159.3,192,Jun,999.07684305313,-3319.24755859375,52.4364693374416,85.8306641766862,19.3,19.2,20,70,19.200000000000003,22.27777777777778,0
2023-06-15,227150,-32.35,159.3,192,Jun,999.07684305313,-3319.24755859375,52.4364693374416,85.8306641766862,19.3,19.2,20,70,19.200000000000003,22.27777777777778,0
2023-06-15,227150,-32.35,159.3,192,Jun,999.07684305313,-3319.24755859375,52.4364693374416,85.8306641766862,19.3,19.2,20,70,19.200000000000003,22.27777777777778,0
2023-06-16,227150,-32.3375,159.28125,193,Jun,1001.32063273481,-3319.74755859375,50.9508080227621,84.0604889824952,18.9,19.2,29,70,19.150000000000002,24.055555555555557,2.2443338660368752
2023-06-17,227150,-32.325,159.275,194,Jun,1002.82952633147,-3160.8076171875,49.5444312436912,82.5758574592851,19.3,19.5,34,71,19.425,24.944444444444443,1.5058903143109497
2023-06-18,227150,-32.3125,159.275,195,Jun,1004.21946291453,-3044.87744140625,48.1589377069271,81.2273627636637,19.2,19.5,24,61,19.225,21.38888888888889,1.3861550346768177
2023-06-19,227150,-32.3,159.275,196,Jun,1005.60939949758,-2953.6875,46.7734861152259,79.8801599571228,19.2,19.3,29,82,19.275000000000002,24.944444444444443,1.3861522857027961
2023-06-20,227150,-32.2833333333333,159.25,197,Jun,1008.60217972103,-2948.87744140625,44.9091884541381,77.5480908446718,19.2,19.3,31,70,19.25,24.944444444444443,2.9934954294800358
2023-06-21,227150,-32.275,159.25,198,Jun,1009.52880410973,-2948.87744140625,43.985262538285,76.6456377235588,19.2,19.2,33,62,19.166666666666668,22.357142857142858,0.9240975543704287
2023-06-22,227150,-32.2625,159.25,199,Jun,1010.91874069279,-2962.8125,42.5993899142424,75.2929447542091,19.2,19.1,37,76,19.125000000000004,27.61111111111111,1.3861440422474125
2023-06-23,227150,-32.25,159.25,200,Jun,1012.30867727585,-3044.12255859375,41.2135382915363,73.9414934608552,19.2,19.2,35,62,19.099999999999998,22.357142857142858,1.3861412955906152
2023-06-24,227150,-32.225,159.23125,201,Jun,1015.60073493775,-3177.0625,38.5219871191981,70.8520758094716,19.2,19.5,23,79,19.28,25.136363636363637,3.2876091939054786
2023-06-25,227150,-32.19375,159.225,202,Jun,1019.12497768086,-3368.5625,35.0821518312642,67.3402871502932,19.4,19.8,19,78,19.6,22.227272727272727,3.5150666992201653
2023-06-26,227150,-32.1625,159.225,203,Jun,1022.5998191385,-3447.6826171875,31.6210483598449,63.9572533609963,19.6,19.7,35,57,19.599999999999998,21.214285714285715,3.4653103556707783
2023-06-27,227150,-32.13125,159.20625,204,Jun,1026.49734034689,-3529.75244140625,28.319355844727,60.193126106463,19.3,19.5,37,54,19.4,20.9,3.890671101023456
2023-06-28,227150,-32.11875,159.2,205,Jun,1028.00675366051,-3580.31494140625,27.0249777736673,58.7157969977913,19.1,19.3,37,54,19.2,20.9,1.5063690429742014
2023-06-29,227150,-32.0875,159.225,206,Jun,1032.20433121432,-3496.3125,23.3195683885753,55.879194327231,18.9,18.9,35,54,18.86666666666667,20.071428571428573,4.192395902433657
2023-06-30,227150,-32.0583333333333,159.225,207,Jun,1035.44751657479,-3363.5625,20.094635519476,52.7577811535781,18.8,18.9,1,81,18.799999999999997,19.115384615384617,3.234235849397967
2023-07-01,227150,-31.95,159.25,208,Jul,1047.72212752388,-2605.43505859375,7.98414817760244,42.1882031138594,18.8,18.7,17,57,18.75,16.944444444444443,12.242799707094452
2023-07-02,227150,-31.94,159.24,209,Jul,1049.18045564018,-2401.68505859375,6.90961838897143,40.7992184858034,18.7,18.8,18,53,18.7,16.944444444444443,1.4572329928045067
2023-07-03,227150,-32.0125,159.25625,210,Jul,1057.38650430006,-2997.75244140625,14.8708699867848,48.8413767829222,18.9,18.8,10,45,18.799999999999997,14.277777777777779,8.184667071854324
2023-07-04,227150,-32.04375,159.275,211,Jul,1061.2850656954,-3166.75244140625,18.3956116021391,52.7100522869015,18.8,18.8,32,54,18.733333333333334,20.071428571428573,3.8916544815398213
2023-07-05,227150,-32.075,159.275,212,Jul,1064.75990715304,-3309.37255859375,21.8510289973611,55.9572276667501,18.7,18.7,31,57,18.733333333333334,20.071428571428573,3.465245281811545
2023-07-05,227150,-32.075,159.275,212,Jul,1064.75990715304,-3309.37255859375,21.8510289973611,55.9572276667501,18.7,18.7,31,57,18.733333333333334,20.071428571428573,0
2023-07-06,227150,-32.075,159.275,213,Jul,1064.75990715304,-3309.37255859375,21.8510289973611,55.9572276667501,18.8,18.7,23,70,18.65,22.27777777777778,0
2023-07-06,227150,-32.075,159.275,213,Jul,1064.75990715304,-3309.37255859375,21.8510289973611,55.9572276667501,18.8,18.7,23,70,18.65,22.27777777777778,0
2023-07-07,227150,-32.075,159.3,214,Jul,1067.11544298037,-3246.62255859375,22.1398733636262,56.800710827318,18.7,18.7,28,70,18.65,24.944444444444443,2.3604035642903196
2023-07-08,227150,-32.0666666666667,159.3,215,Jul,1068.04206736907,-3193.25244140625,21.2306807603619,55.9453706662441,18.7,18.6,36,67,18.6,23.5,0.924067081260608
2023-07-09,227150,-32.05,159.325,216,Jul,580.303831968867,-3015.50244140625,19.8594399029994,55.2129902911869,18.5,18.5,32,75,18.5,24.944444444444443,2.9981848774202633
2023-07-09,227150,-32.05,159.325,216,Jul,1071.03958345112,-3015.50244140625,19.8594399029994,55.2129902911869,18.5,18.5,32,75,18.5,24.944444444444443,0
2023-07-10,227150,-32.0375,159.33125,217,Jul,1072.54920095958,-3015.50244140625,18.6721711906587,54.2263715479634,18.6,18.5,37,62,18.566666666666666,23.5,1.5065571319189892
2023-07-11,227150,-32.025,159.35625,218,Jul,1075.28521649584,-2853.6826171875,18.1834483549672,54.1147611298561,18.6,18.5,41,64,18.533333333333335,23.5,2.738258650965148
2023-07-12,227150,-32.0125,159.39375,219,Jul,1079.08409968022,-2646.4326171875,18.563105092415,54.7850462985885,18.5,18.5,38,71,18.466666666666665,24.642857142857142,3.804270383118873
2023-07-13,227150,-32,159.425,220,Jul,1082.34209945627,-2422.37744140625,18.8697854003951,55.352991805031,18.4,18.5,30,66,18.433333333333334,22.357142857142858,3.261860521326498
2023-07-14,227150,-32.025,159.44375,221,Jul,1085.6364914318401,-2516.50244140625,22.1559807386933,58.6342163640258,18.5,18.4,39,73,18.4,24.642857142857142,3.2898619308623593
2023-07-15,227150,-32.025,159.4875,222,Jul,1089.76093192826,-2407.8076171875,24.7640103792294,61.1702594598147,18.6,18.5,34,77,18.525,25.833333333333332,4.13295281134011
2023-07-16,227150,-32.03125,159.50625,223,Jul,1091.66020518017,-2376.8076171875,26.4910455189367,62.8121599477539,18.6,18.5,44,73,18.466666666666665,26.928571428571427,1.9019675827432843
2023-07-17,227150,-32.05,159.508333333333,224,Jul,1093.75433719424,-2457.5576171875,28.1374079627864,64.5667917479564,18.5,18.5,32,77,18.5,25.833333333333332,2.0884317794027387
2023-07-18,227150,-32.075,159.525,225,Jul,1096.94720280131,-2519.5576171875,31.2575716424323,67.7223742374084,NA,NA,NA,NA,18.35,24.1,3.187785695201175
2023-07-19,227150,-32.075,159.5125,226,Jul,1098.12497071695,-2571.49755859375,30.4995960882264,66.9848029885816,NA,NA,NA,NA,18.4,23.5,1.1802017841265566
2023-07-20,227150,-32.1,159.491666666667,227,Jul,1101.52788123626,-2645.24755859375,31.5804953381061,68.0209565055644,NA,NA,NA,NA,18.4,23.5,3.3989980539074316
2023-07-21,227150,-32.125,159.475,228,Jul,1104.72032433281,-2726.9375,33.1628707180019,69.4236921688164,NA,NA,NA,NA,18.316666666666666,17.884615384615383,3.187381860065277
2023-07-22,227150,-32.135,159.475,229,Jul,1105.83227359926,-2776.4326171875,34.1438104035459,70.3549428030057,18.3,18.3,18,64,18.225,17.833333333333332,1.1088908695555373
2023-07-23,227150,-32.1375,159.45,230,Jul,1108.20258744526,-2915.62255859375,33.3061054094961,69.3494804954345,18.3,18.2,25,74,18.200000000000003,21.38888888888889,2.375063044702691
2023-07-24,227150,-32.125,159.44,231,Jul,1109.88145570229,-2852.5625,31.636641793972,67.6756883526309,18.3,18.2,0,68,18.200000000000003,17.884615384615383,1.6768006036390737
2023-07-25,227150,-32.1375,159.4375,232,Jul,1111.29118648774,-2915.62255859375,32.7502285374614,68.7520958216259,18.2,18.2,12,71,18.18,20.772727272727273,1.4060435359546084
2023-07-26,227150,-32.1875,159.425,233,Jul,1116.97407829069,-3229.3125,37.3146438635874,73.0625935849178,18.2,18.2,27,70,18.175,21.38888888888889,5.668466366528341
2023-07-27,227150,-32.2375,159.425,234,Jul,1122.53382462292,-3447.87255859375,42.5025703286304,78.042451872217,18.2,18.1,37,60,18.166666666666668,23.5,5.544526748883415
2023-07-28,227150,-32.28125,159.4,235,Jul,1127.93680528289,-3539.9326171875,46.454738119772,81.5396460011094,18.2,18.1,39,71,18.133333333333333,24.642857142857142,5.393155693953265
2023-07-29,227150,-32.3125,159.4,236,Jul,1131.41164674053,-3587.50244140625,49.815049797968,84.7580040243683,18.2,18.1,28,66,18.099999999999998,22.357142857142858,3.465375561191198
2023-07-30,227150,-32.34375,159.4,237,Jul,1134.88648819818,-3575.62255859375,53.1888624596144,87.9951414713409,18.3,18.2,15,62,18.200000000000003,18.72222222222222,3.465392742282424
2023-07-31,227150,-32.375,159.39375,238,Jul,1138.41056892871,-3542.50244140625,56.4545001910877,91.0520785455434,18.3,18.5,29,66,18.366666666666664,22.357142857142858,3.514985637426787
2023-08-01,227150,-32.39375,159.39375,239,Aug,1140.49547380329,-3531.9326171875,58.494139917623,93.0159461481775,18.3,18.8,37,71,18.433333333333334,24.642857142857142,2.0792542144363853
2023-08-02,227150,-32.41875,159.4,240,Aug,1143.33659316644,-3556.24755859375,61.3277636801258,95.8294919007657,18.4,18.7,36,57,18.55,20.9,2.834010854754582
2023-08-03,227150,-32.425,159.4,241,Aug,639.426775114742,-3556.24755859375,62.0081434357922,96.486005519909,18.5,18.7,31,70,18.674999999999997,24.944444444444443,0.6930888678482583
2023-08-03,227150,-32.425,159.4,241,Aug,1144.03156145797,-3556.24755859375,62.0081434357922,96.486005519909,18.5,18.7,31,70,18.674999999999997,24.944444444444443,0
2023-08-04,227150,-32.45,159.425,242,Aug,1147.66915824897,-3593.8076171875,65.2005092215612,99.8733381182934,18.4,18.7,35,64,18.500000000000004,21.214285714285715,3.63502320735973
2023-08-05,227150,-32.46875,159.425,243,Aug,1149.75406312355,-3655.3076171875,67.2319468005393,101.836740164392,18.5,18.6,37,53,18.5,20.9,2.0792790005424937
2023-08-06,227150,-32.49375,159.425,244,Aug,1152.53393628967,-3671.3076171875,69.9449133874532,104.461594179057,18,18.6,34,76,18.275000000000002,24.944444444444443,2.7723816476158736
2023-08-07,227150,-32.51875,159.425,245,Aug,1155.31380945578,-3668.0576171875,72.6623760555393,107.093893272662,18,18.5,31,68,18.35,24.055555555555557,2.7723926768207234
2023-08-08,227150,-32.53125,159.43125,246,Aug,1156.82221305242,-3668.0576171875,74.136903726241,108.593911346104,18.4,18.5,39,67,18.466666666666665,23.5,1.5054389531095562
2023-08-09,227150,-32.5625,159.45,247,Aug,1160.71621323047,-3578.0576171875,77.8899971050072,112.437014161737,18.6,18.6,25,74,18.474999999999998,22.27777777777778,3.8873422916876788
2023-08-10,227150,-32.58125,159.4375,248,Aug,1163.10761983502,-3589.62744140625,79.689656997543,114.052071676289,18.6,18.8,36,72,18.566666666666666,24.642857142857142,2.3877399342655967
2023-08-11,227150,-32.6125,159.4,249,Aug,1168.04883550181,-3876.37744140625,82.4804440440048,116.379105207461,18.7,18.9,24,69,18.8,22.27777777777778,4.939919593161653
2023-08-12,227150,-32.6375,159.3625,250,Aug,1172.52779017318,-4042.87744140625,84.7388161651807,118.193230307237,18.4,18.8,19,71,18.439999999999998,21.5,4.480127186204788
2023-08-13,227150,-32.6583333333333,159.325,251,Aug,1176.73415180992,-4213.06005859375,86.709603534799,119.695744350682,18.7,19.1,21,61,18.875,21.38888888888889,4.209112440344439
2023-08-14,227150,-32.6916666666667,159.3,252,Aug,1181.11747039438,-4375.62744140625,90.265780988709,122.892435198037,18.6,19.2,22,65,18.825,21.38888888888889,4.377599986373981
2023-08-15,227150,-32.73125,159.29375,253,Aug,1185.55760913545,-4314.62744140625,94.6295348799736,127.120912468776,NA,NA,NA,NA,18.7,24.055555555555557,4.428702755491099
2023-08-16,227150,-32.78125,159.325,254,Aug,1191.83856866142,-3738.0576171875,100.310451903294,133.084488617987,NA,NA,NA,NA,18.266666666666666,24.642857142857142,6.270783022752463
2023-08-17,227150,-32.80625,159.35,255,Aug,1195.4701636448,-3439.8076171875,103.246218472413,136.242050021893,NA,NA,NA,NA,18.266666666666662,24.642857142857142,3.6291409612087144
2023-08-18,227150,-32.8375,159.35625,256,Aug,1198.99374228346,-3371.24755859375,106.749019577463,139.755683785689,NA,NA,NA,NA,NA,NA,3.5147344313067954
2023-08-19,227150,-32.8625,159.375,257,Aug,1202.2793929051,-3377.62744140625,109.67299779656,142.817346995059,18.3,18.5,32,73,18.375,24.944444444444443,3.281425806535393
2023-08-20,227150,-32.89375,159.35,258,Aug,1206.46567298546,-3462.12744140625,112.91925540902,145.778342259522,18,18.4,41,76,18.15,27.61111111111111,4.181445530105377
2023-08-21,227150,-32.9375,159.35,259,Aug,1211.33045102616,-3597.12744140625,117.75772941107,150.554570141826,18,18.4,40,70,18.266666666666666,24.642857142857142,4.852004365263827
