lat,lon,fishing_hours,PTT
-35.9,150.6,14.442222222222222,227151
-36,150.5,2.2533333333333334,227151
-33.6,151.3,39.63997222222222,227151
-33.8,151.4,9.059444444444445,227151
-32.6,152.3,7.260833333333334,227151
-34.8,151.4,16.38675277777778,227151
-36.1,150.8,12.602500000000004,227151
-36.3,151,6.953055555555556,227151
-32.1,153.6,5.678611111111111,227151
-32.3,153.6,7.884722222222223,227151
-32.6,153.7,6.092752777777777,227151
-33.2,152.2,9.966666666666669,227151
-33.4,152.1,18.474844444444443,227151
-33.3,152.3,2.1527777777777777,227151
-36.3,151.9,2.6897222222222226,227151
-36.4,151.9,0.10805555555555556,227151
-31.5,153.5,1.6358333333333337,227151
-31.6,153.6,5.991666666666666,227151
-31.6,153.5,0.9583333333333331,227151
-31.5,153.8,3.4366666666666665,227151
-31.4,153.9,0.07452222222222223,227151
-31.7,153.8,1.453013888888889,227151
-31.8,153.8,5.325597222222223,227151
-33.5,151.4,0.9469555555555554,227151
-33.6,151.4,0.5369444444444444,227151
-33.5,151.6,0.7575000000000001,227151
-33.7,151.4,3.601786111111111,227151
-34.3,151.8,6.303555555555556,227151
-34.5,151,2.8083333333333336,227151
-34.8,151.3,4.967777777777777,227151
-34.9,151.3,9.997291666666666,227151
-35.4,150.6,1.033611111111111,227151
-35,151.2,6.213055555555555,227151
-36.3,150.2,0.693888888888889,227151
-35.7,151.1,13.483333333333333,227151
-35.8,150.8,23.89416666666667,227151
-35.9,151,7.510277777777778,227151
-35.9,151.1,5.562777777777779,227151
-35.9,151.2,1.5313888888888882,227151
-36,151,8.798055555555557,227151
-36.1,150.7,39.4211111111111,227151
-36.1,151.1,6.136111111111113,227151
-36.1,151.3,1.5483333333333331,227151
-36.2,151.3,1.9088888888888889,227151
-36.1,151.4,0.8825000000000001,227151
-32.6,152.5,4.505833333333333,227151
-32.6,153,0.3938888888888888,227151
-32.9,152.7,1.7980555555555562,227151
-33.1,152.6,3.4465166666666667,227151
-32.5,153.4,0.5388888888888889,227151
-32.8,153.4,0.055,227151
-33.7,152.2,0.07444444444444445,227151
-33.2,153.2,12.33315277777778,227151
-33.3,153.3,2.076666666666667,227151
-34.3,152,1.8502777777777777,227151
-34.3,152.1,1.6749999999999998,227151
-34.5,152,10.98,227151
-34.7,152.5,1.2505555555555556,227151
-34.7,152.4,1.8497222222222225,227151
-34.8,152.3,5.649444444444445,227151
-33.3,151.7,11.986272222222222,227151
-34.3,150.9,10.706205555555556,227151
-32.7,152.9,1.805008333333333,227151
-33.3,151.5,11.654722222222222,227151
-33.2,151.6,0.8252777777777778,227151
-34,151.4,2.2219444444444445,227151
-33.4,152.5,2.710469444444445,227151
-35.4,151.6,4.549166666666666,227151
-35.3,151.5,8.10101899388889,227151
-34.2,151.7,8.02111111111111,227151
-34.4,151.6,4.270619444444444,227151
-32.5,152.4,3.4911111111111106,227151
-35.5,150.7,5.735677777777778,227151
-35.8,150.6,0.1088888888888889,227151
-33.5,152.2,1.005,227151
-33.2,152.9,0.6833333333333333,227151
-34.8,151.6,4.705511111111112,227151
-35,151.4,10.450833333333334,227151
-35.9,150.7,11.607777777777777,227151
-34.1,151.2,11.304919444444446,227151
-34.8,150.8,11.425555555555558,227151
-35.3,151,4.890083333333333,227151
-31.9,153.3,3.255833333333334,227151
-31.8,153.3,3.021944444444444,227151
-32,153.2,0.3580055555555556,227151
-32.1,153.3,15.47388888888889,227151
-32.4,153.2,11.549166666666666,227151
-32.5,153.2,5.995555555555556,227151
-32.5,153.3,5.599444444444445,227151
-32.8,153.2,11.880277777777778,227151
-32.8,153.1,1.5469444444444442,227151
-32.9,153.3,5.456252777777777,227151
-33.1,153.1,4.050277777777778,227151
-33.1,153.2,4.313055555555556,227151
-34,151.5,2.6805555555555554,227151
-32.9,152.6,1.028333333333333,227151
-35.2,151.5,11.6575,227151
-35.6,151.5,0.5837694444444443,227151
-33.7,151.3,20.33361111111111,227151
-35.6,151.3,0.7011111111111111,227151
-33.8,151.6,0.3108333333333333,227151
-35.6,151.4,1.7399999999999998,227151
-35.7,151.3,0.6747222222222224,227151
-34.7,152.1,6.527222222222223,227151
-33.8,151.1,0.9394444444444444,227151
-34,151.3,9.860788888888887,227151
