source,date,common_name,species,longitude,latitude
"Australian Institute of Marine Science (AIMS) Long-term Monitoring Program: Visual Census Fish Data (Great Barrier Reef), Australia (1992 to present)",2016-01-09,Common Coral Trout,Plectropomus leopardus,152.58177,-21.42373
"Australian Institute of Marine Science (AIMS) Long-term Monitoring Program: Visual Census Fish Data (Great Barrier Reef), Australia (1992 to present)",2016-01-10,Common Coral Trout,Plectropomus leopardus,152.58538,-21.42512
"Australian Institute of Marine Science (AIMS) Long-term Monitoring Program: Visual Census Fish Data (Great Barrier Reef), Australia (1992 to present)",2016-01-18,Common Coral Trout,Plectropomus leopardus,152.61018,-21.9573
Reef Life Survey: Global reef fish dataset,2016-01-23,Common Coral Trout,Plectropomus leopardus,147.06,-18.44
Reef Life Survey: Global reef fish dataset,2016-01-27,Common Coral Trout,Plectropomus leopardus,147.08,-18.63
Reef Life Survey: Global reef fish dataset,2016-01-27,Common Coral Trout,Plectropomus leopardus,147.08,-18.63
Reef Life Survey: Global reef fish dataset,2016-01-29,Common Coral Trout,Plectropomus leopardus,147,-18.46
Reef Life Survey: Global reef fish dataset,2016-01-29,Common Coral Trout,Plectropomus leopardus,147,-18.46
Reef Life Survey: Global reef fish dataset,2016-02-02,Snapper,Chrysophrys auratus,152.16,-32.71
"Australian Institute of Marine Science (AIMS) Long-term Monitoring Program: Visual Census Fish Data (Great Barrier Reef), Australia (1992 to present)",2016-03-04,Common Coral Trout,Plectropomus leopardus,150.9389,-20.88287
"Australian Institute of Marine Science (AIMS) Long-term Monitoring Program: Visual Census Fish Data (Great Barrier Reef), Australia (1992 to present)",2016-03-08,Spangled Emperor,Lethrinus nebulosus,150.78432,-21.05063
iNaturalist Australia,2016-03-09,Common Coral Trout,Plectropomus leopardus,152.392456,-23.907328
"Australian Institute of Marine Science (AIMS) Long-term Monitoring Program: Visual Census Fish Data (Great Barrier Reef), Australia (1992 to present)",2016-03-16,Common Coral Trout,Plectropomus leopardus,150.59695,-21.01378
Reef Life Survey: Global reef fish dataset,2016-04-01,Snapper,Chrysophrys auratus,150.77,-35.07
Reef Life Survey: Global reef fish dataset,2016-04-02,Snapper,Chrysophrys auratus,150.79,-35.08
Reef Life Survey: Global reef fish dataset,2016-04-02,Snapper,Chrysophrys auratus,150.79,-35.08
Reef Life Survey: Global reef fish dataset,2016-04-04,Snapper,Chrysophrys auratus,150.71,-35.12
Reef Life Survey: Global reef fish dataset,2016-04-12,Snapper,Chrysophrys auratus,151.27,-33.8
Reef Life Survey: Global reef fish dataset,2016-04-12,Snapper,Chrysophrys auratus,151.28,-33.8
Reef Life Survey: Global reef fish dataset,2016-04-18,Snapper,Chrysophrys auratus,152.91,-31.68
Reef Life Survey: Global reef fish dataset,2016-04-21,Snapper,Chrysophrys auratus,152.91,-31.68
Reef Life Survey: Global reef fish dataset,2016-04-22,Snapper,Chrysophrys auratus,152.33,-32.62
Reef Life Survey: Global reef fish dataset,2016-04-25,Snapper,Chrysophrys auratus,152.15,-32.71
"Australian Institute of Marine Science (AIMS) Long-term Monitoring Program: Visual Census Fish Data (Great Barrier Reef), Australia (1992 to present)",2016-05-02,Common Coral Trout,Plectropomus leopardus,147.05995,-18.43142
