DeployID,Ptt,DepthSensor,Source,Instr,Date,Hours,LonMethod,Type,LocationQuality,Latitude,Longitude,PerCentMLTime,MLTave,MLTmin,MLTmax,MLDExtreme,SSTAve,SSTmin,SSTmax,TempMin,DepthMin,DepthMax
227150,227150,0.500000,Transmission,MiniPAT,00:00:00 10-Oct-2023,24,,interval,,,,92.000000,18.300000,17.799999,18.900000,118.250000,,,,17.50,7.50,118.50
227150,227150,0.500000,Transmission,MiniPAT,00:00:00 11-Oct-2023,24,,interval,,,,52.000000,18.600000,17.799999,19.000000,94.250000,,,,17.80,17.50,121.50
227150,227150,0.500000,Transmission,MiniPAT,00:00:00 12-Oct-2023,24,,interval,,,,64.000000,18.800000,18.400000,19.100000,79.250000,,,,17.90,20.00,133.50
227150,227150,0.500000,Transmission,MiniPAT,00:00:00 13-Oct-2023,24,,interval,,,,70.000000,18.900000,18.299999,19.100000,72.250000,,,,18.10,24.00,74.50
227150,227150,0.500000,Transmission,MiniPAT,00:00:00 14-Oct-2023,24,,interval,,,,67.000000,18.700000,18.299999,19.200001,79.250000,,,,18.00,25.50,121.50
227150,227150,0.500000,Transmission,MiniPAT,00:00:00 15-Oct-2023,24,,interval,,,,77.000000,18.800000,18.500000,19.100000,107.250000,,,,18.00,29.50,145.50
227150,227150,0.500000,Transmission,MiniPAT,00:00:00 16-Oct-2023,24,,interval,,,,100.000000,18.800000,18.400000,19.200001,77.250000,,,,18.40,29.50,78.50
227150,227150,0.500000,Transmission,MiniPAT,00:00:00 17-Oct-2023,24,,interval,,,,67.000000,19.000000,18.400000,19.200001,70.250000,,,,18.00,34.50,98.50
227150,227150,0.500000,Transmission,MiniPAT,00:00:00 19-Oct-2023,24,,interval,,,,76.000000,20.000000,18.799999,20.299999,76.250000,,,,18.40,22.00,80.50
227150,227150,0.500000,Transmission,MiniPAT,00:00:00 20-Oct-2023,24,,interval,,,,65.000000,20.000000,18.600000,20.400000,80.250000,,,,18.40,9.50,90.50
227150,227150,0.500000,Transmission,MiniPAT,00:00:00 21-Oct-2023,24,,interval,,,,88.000000,20.100000,19.299999,20.500000,88.250000,,,,18.30,15.50,94.50
227150,227150,0.500000,Transmission,MiniPAT,00:00:00 22-Oct-2023,24,,interval,,,,80.000000,20.100000,19.700001,20.600000,72.250000,,,,18.50,11.00,102.50
227150,227150,0.500000,Transmission,MiniPAT,00:00:00 23-Oct-2023,24,,interval,,,,42.000000,20.100000,19.400000,20.299999,69.250000,,,,18.50,28.50,94.50
227150,227150,0.500000,Transmission,MiniPAT,00:00:00 24-Oct-2023,24,,interval,,,,67.000000,20.100000,19.500000,20.500000,75.250000,,,,18.90,13.50,96.50
227150,227150,0.500000,Transmission,MiniPAT,00:00:00 25-Oct-2023,24,,interval,,,,66.000000,20.400000,19.500000,21.100000,91.250000,,,,19.10,27.50,100.50
227150,227150,0.500000,Transmission,MiniPAT,00:00:00 26-Oct-2023,24,,interval,,,,69.000000,20.800000,20.000000,21.299999,75.250000,,,,19.90,7.50,76.50
227150,227150,0.500000,Transmission,MiniPAT,00:00:00 27-Oct-2023,24,,interval,,,,55.000000,20.500000,19.500000,20.900000,65.250000,,,,18.40,11.00,82.50
227150,227150,0.500000,Transmission,MiniPAT,00:00:00 28-Oct-2023,24,,interval,,,,31.000000,20.100000,18.799999,20.400000,72.250000,,,,18.00,7.50,82.50
227150,227150,0.500000,Transmission,MiniPAT,00:00:00 29-Oct-2023,24,,interval,,,,61.000000,19.800000,18.700001,20.600000,75.250000,19.80,19.75,19.85,18.00,3.00,82.50
227150,227150,0.500000,Transmission,MiniPAT,00:00:00 30-Oct-2023,24,,interval,,,,53.000000,20.700000,19.799999,21.000000,74.250000,,,,19.00,11.50,76.50
