"Date","Ptt","Latitude","Longitude","day.at.liberty","month","DistfromStart","bathy_depth","DistToShelf","DistToShore"
2019-05-08,47618,-25.225,-161.25,96,"May",2159.25059702077,-4681.0576171875,462.961517303929,463.752610859036
2019-05-09,47618,-25.485,-161.595,97,"May",2204.39056169477,-4965.37255859375,502.100924759439,502.821513386634
2019-05-10,47618,-25.6875,-161.816666666667,98,"May",2236.03286558418,-4987.8076171875,531.297021715424,532.053347767917
2019-05-11,47618,-25.75,-162.06875,99,"May",2262.22523156215,-5194.12255859375,547.946910534778,548.759732169791
2019-05-12,47618,-25.765,-162.435,100,"May",2298.94187076891,-5341.9326171875,566.082685874407,566.979727305437
2019-05-13,47618,-25.76,-162.73,101,"May",2328.48914304122,-5363.31005859375,580.411236891493,581.372449306692
2019-05-14,47618,-25.475,-162.7,102,"May",2360.32212694433,-5340.4365234375,552.057479097129,553.053613001929
2019-05-15,47618,-25.39,-162.745,103,"May",2370.79839966589,-5315.2666015625,546.66759742013,547.686014283339
2019-05-16,47618,-25.395,-162.75,104,"May",2371.5476497128,-5315.2666015625,547.407672739526,548.426361934268
2019-05-17,47618,-25.445,-162.655,105,"May",2382.59020122775,-5278.978515625,546.816556647643,547.807658465728
2019-05-18,47618,-25.54,-162.635,106,"May",2393.34275905092,-5318,554.652971957355,555.625671618767
2019-05-19,47618,-25.645,-162.69,107,"May",2406.25552365692,-5365.4375,567.452165405231,568.421300802753
2019-05-20,47618,-25.85,-162.8125,108,"May",2432.14255745279,-5452.25,593.234775097202,594.200357111153
2019-05-21,47618,-26.065,-162.89,109,"May",2457.27372580218,-5270.57958984375,617.616748005074,618.568937379527
2019-05-22,47618,-26.21,-163.065,110,"May",2481.04624593906,-5561.1826171875,640.448464948161,641.41521616157
2019-05-23,47618,-26.07,-163.16,111,"May",2499.27450163771,-5511.75244140625,632.4722585711,633.474573193196
2019-05-24,47618,-25.815,-163.335,112,"May",2532.59384248534,-5590.7060546875,619.21577331202,620.2837022501
2019-05-25,47618,-25.715,-163.42,113,"May",2546.59727559208,-5418.435546875,615.443268771528,616.539740696045
2019-05-26,47618,-25.8166666666667,-163.5125,114,"May",2561.21235762393,-5486.7275390625,630.027190583675,631.124711054641
2019-05-27,47618,-25.85625,-163.58125,115,"May",2569.38023609002,-5296.88720703125,637.708546775665,638.811726818177
2019-05-28,47618,-25.7833333333333,-163.4125,116,"May",2588.11632677493,-5571.24609375,621.021791616312,622.107363915842
2019-05-29,47618,-25.64,-163.205,117,"May",2614.31132079795,-5499.873046875,595.865478200558,596.935408328966
2019-05-30,47618,-25.45,-163.075,118,"May",2639.1397842529,-5476.63525390625,571.164340817188,572.238606408923
2019-05-31,47618,-25.1416666666667,-162.8,119,"May",2683.18289607613,-5261.419921875,527.248823840489,528.317817845901
2019-06-01,47618,-24.89375,-162.7375,120,"Jun",2711.46016376882,-5255.75,501.426530877508,502.524270794725
2019-06-02,47618,-24.575,-162.6,121,"Jun",2749.52682626554,-5258.8125,464.991221109495,466.11726705051
2019-06-03,47618,-24.32,-162.165,122,"Jun",2801.89941109561,-5042.25244140625,415.852642126983,416.925618371735
2019-06-04,47618,-24.095,-162.065,123,"Jun",2828.89566029926,-4950.87744140625,389.748029047153,390.842363794489
2019-06-05,47618,-23.7708333333333,-161.858333333333,124,"Jun",2870.61468754534,-4864.9130859375,348.414080470902,349.525535822187
2019-06-06,47618,-23.4875,-162.26875,125,"Jun",2922.96593625837,-4787.12255859375,352.864903716257,354.145609979388
2019-06-07,47618,-23.075,-162.65,126,"Jun",2983.13465135193,-5149.0625,354.419229042072,355.47123492295
2019-06-08,47618,-22.635,-162.985,127,"Jun",3042.90071513771,-4794.00244140625,360.604753868177,361.423808840526
2019-06-09,47618,-22.4666666666667,-163.3,128,"Jun",3080.27404267291,-4957.50244140625,383.615182673394,384.314570626642
2019-06-10,47618,-22.36875,-163.54375,129,"Jun",3107.59293487707,-5180.8701171875,404.001236572307,404.628583794989
2019-06-11,47618,-22.205,-163.735,130,"Jun",3134.40219585389,-5122.62744140625,418.129615969975,418.712110365742
2019-06-12,47618,-21.915,-164.03,131,"Jun",3178.71991517998,-5168.625,437.318813880771,438.450528556915
2019-06-13,47618,-21.75,-164.1,132,"Jun",3198.4385410061,-5284.4326171875,421.17804594984,422.303046838718
2019-06-14,47618,-21.625,-164.18,133,"Jun",3214.61004346587,-5158.99755859375,409.899253727961,411.016283608192
2019-06-15,47618,-21.5041666666667,-164.104166666667,134,"Jun",3230.16720661693,-5071.8701171875,394.924914949421,396.044946432481
2019-06-16,47618,-21.5,-164.04375,135,"Jun",3236.43483503156,-5180.3701171875,392.910101813323,394.034406793044
2019-06-17,47618,-21.57,-164.03,136,"Jun",3244.34734302032,-5185.68994140625,400.095795530011,401.222302765958
2019-06-18,47618,-21.66,-164.06,137,"Jun",3254.82440392824,-5145.81494140625,410.51254787109,411.638613844419
2019-06-19,47618,-21.7,-164.115,138,"Jun",3262.04109109031,-5267.43505859375,416.188297626843,417.311418525244
2019-06-20,47618,-21.745,-164.28,139,"Jun",3279.80468329098,-5183.3125,407.799370426563,409.206887443677
2019-06-21,47618,-21.8958333333333,-164.55,140,"Jun",3312.33347920536,-5262.0625,391.62664148833,392.995670626117
2019-06-22,47618,-21.90625,-164.8125,141,"Jun",3339.44034057933,-4961.4326171875,369.365768974616,370.738083223635
2019-06-23,47618,-21.91,-165.04,142,"Jun",3362.91403469312,-5102.0576171875,350.310850925254,351.684168150292
2019-06-24,47618,-21.65,-165.19375,143,"Jun",3395.89688259121,-5256.1201171875,320.820569616442,322.192597087994
2019-06-25,47618,-21.4291666666667,-165.416666666667,144,"Jun",3429.58012221423,-5043.18994140625,288.15339240811,289.523385547751
2019-06-26,47618,-21.16875,-165.61875,145,"Jun",3465.31270007772,-5134.62744140625,255.370796443675,256.755623122996
2019-06-27,47618,-20.86,-165.79,146,"Jun",3503.9730139928,-5142.0576171875,224.028274714635,225.43470410812
2019-06-28,47618,-20.68,-165.815,147,"Jun",3524.15616541696,-4935.3701171875,214.181451557609,215.473445717671
2019-06-29,47618,-20.5541666666667,-165.808333333333,148,"Jun",3538.16538540691,-5206.6826171875,210.534987095406,211.786412309326
2019-06-30,47618,-20.27,-165.91,149,"Jun",3571.49224889356,-5275.06494140625,193.303927826306,194.637849487452
2019-07-01,47618,-20.0375,-165.98125,150,"Jul",3598.39364886384,-5093.18994140625,183.52594882851,185.124122658335
2019-07-02,47618,-19.815,-166.14,151,"Jul",3628.18487781089,-4955.00341796875,168.03648210147,169.890782021301
2019-07-03,47618,-19.675,-166.28,152,"Jul",3649.56295073321,-5255.7626953125,156.233001267246,158.25623398694
2019-07-04,47618,-19.62,-166.35,153,"Jul",3659.10956679708,-5198.97265625,150.643926637868,152.655115302568
2019-07-05,47618,-19.605,-166.36,154,"Jul",3661.079109368,-5186.85302734375,150.10175624065,152.105919030897
2019-07-06,47618,-19.67,-166.3,155,"Jul",3670.65634924637,-5300.70263671875,154.317962084273,156.335017694679
2019-07-07,47618,-19.85,-166.25,156,"Jul",3691.34406018581,-5168.93310546875,156.156280773324,157.984872279682
2019-07-08,47618,-19.83,-166.25,157,"Jul",3693.5679587187,-5156.75341796875,156.39728930302,158.249154489975
2019-07-09,47618,-19.695,-166.3,158,"Jul",3709.46501570284,-5319.892578125,153.699831880113,155.707432796272
2019-07-10,47618,-19.625,-166.125,159,"Jul",3729.37435319282,-5090.0625,173.327755916405,175.346215776962
