Date,Ptt,Latitude,Longitude,day.at.liberty,month,DistfromStart,bathy_depth,DistToShelf,DistToShore,MinTempFromSeries,MeanTempFromSeries,MaxTempFromSeries,MinDepthFromSeries,MaxDepthFromSeries,MeanDepthFromSeries,MinTemp,MaxTemp,MinDepth,MaxDepth,MeanTempPDT,MeanDepthPDT,DistTravelled
2019-03-23,47618,-24.33125,-159.35,50,Mar,1047.32648287471,-4310.87744140625,300.526347481778,301.121773123644,20,25.314583333333335,27.2,2,103.5,33.583333333333314,20,27.3,0,109,23.837499999999995,44.5,12.437052086565256
2019-03-24,47618,-24.3125,-159.40625,51,Mar,1053.39542747402,-4305.12744140625,301.564091591105,302.180926673224,21.9,25.85625,26.4,1,71.5,16.934027777777782,21.9,26.5,0,75,24.866666666666664,28.642857142857142,6.075212986086333
2019-03-25,47618,-24.22,-159.34,52,Mar,1065.67931565703,-4850.56005859375,289.323822719084,289.938444018227,21.5,26,26.5,1.5,108.5,21.204861111111114,18.3,26.7,0,201,22.5125,79.16666666666667,12.256596439435059
2019-03-26,47618,-24.075,-159.26,53,Mar,1083.73058542968,-4787.49755859375,271.356181984865,271.975131599623,21,26.320833333333333,26.8,1,105,23.149305555555568,18.8,26.8,0,194,22.675,78.27777777777777,18.001170265547344
2019-03-27,47618,-24.15,-159.225,54,Mar,1092.79522396862,-4685.56005859375,276.811031261963,277.401608851575,19.3,26.43125,26.8,1,168,22.784722222222218,19.2,26.8,0,178,23.1375,69.38888888888889,9.036974550430756
2019-03-28,47618,-24.4625,-159.25,55,Mar,1127.6358713949,-4755.75,308.67366803007,309.212276839661,19,25.834722222222222,26.5,1.5,157,34.506944444444436,18.5,26.6,0,192,22.512499999999996,77.38888888888889,34.706237158222386
2019-03-29,47618,-24.675,-159.18125,56,Mar,1152.26641136462,-5064.8759765625,327.133882597852,327.580143416424,20.6,25.9,26.2,1.5,99.5,38.5,20.2,26.2,0,121,23.95,48.05555555555556,24.546567212703888
2019-03-30,47618,-24.765,-159.065,57,Mar,1167.69438016862,-4944.43603515625,331.97150674374,332.29292907194,23.1,25.933333333333334,26,7,59.5,36.052083333333336,8,26.1,0,562,16.8,235.61111111111111,15.418397913125174
2019-03-31,47618,-24.6875,-158.98125,58,Mar,1179.76972134905,-4952.68505859375,320.98421880821,321.263105592073,15.6,25.570138888888888,26,1,278.5,38.13020833333332,8.8,26,0,506,NA,NA,12.0619355068948
2019-04-01,47618,-24.61875,-158.7125,59,Apr,1207.98481542817,-4761.25,305.29470104171,305.561365936807,20.5,25.149305555555557,25.8,1,101.5,41.565972222222236,20.5,25.9,0,107,24.200000000000003,43.611111111111114,28.25170971655008
2019-04-02,47618,-24.73125,-158.3875,60,Apr,1243.12534273333,-4746.56494140625,310.286025776726,310.559384634192,22,24.89375,25.4,1,90,34.68402777777776,21,25.5,0,119,23.999999999999996,48.05555555555556,35.17580659726845
2019-04-03,47618,-24.875,-158.179166666667,61,Apr,1269.53939572069,-5006.6201171875,323.458656884147,323.734463045765,20,24.993055555555557,25.6,0.5,166.5,38.97569444444444,17.9,25.7,0,245,22.2125,101.38888888888889,26.40581488626411
2019-04-04,47618,-24.825,-158.06,62,Apr,1282.78643019076,-4876.2451171875,317.035605614561,317.354611393661,22,25.24652777777778,25.5,1.5,99.5,22.798611111111125,18.2,25.6,0,241,22.062499999999996,97.83333333333333,13.2568507250327
2019-04-05,47618,-24.86875,-158.06875,63,Apr,1287.73067587544,-4898.125,321.924817435388,322.24378913865,21.4,24.98125,25.3,1,90,21.69097222222224,20.8,25.4,0,114,23.6625,45.388888888888886,4.926252577027818
2019-04-06,47618,-24.675,-158.125,64,Apr,1310.01065930936,-4931.1826171875,300.915929561844,301.204338400639,19.7,25.052777777777777,25.4,1.5,150.5,22.288194444444432,18.5,25.5,0,205,21.987499999999997,86.27777777777777,22.2027749610398
2019-04-07,47618,-24.78125,-158.20625,65,Apr,1324.39545101921,-4784.3076171875,313.378185906577,313.653694970877,20,25.245833333333334,25.5,1,145.5,22.60763888888888,19.7,25.5,0,152,22.937500000000004,62.27777777777778,14.355650793906895
2019-04-08,47618,-24.8208333333333,-158.291666666667,66,Apr,1334.07585283226,-4736.8701171875,318.712686096906,318.987410768628,23,25.191666666666666,25.3,1.5,45,17.979166666666675,22,25.3,0,84,24.12857142857143,36.0625,9.685911338418189
2019-04-09,47618,-24.98,-158.395,67,Apr,1354.6149959422,-4864.4326171875,337.621045057432,337.894867513033,21,25.219444444444445,25.4,1,107.5,26.322916666666686,18.7,25.6,0,197,22.112500000000004,81.83333333333333,20.490184343634112
2019-04-10,47618,-24.93,-158.545,68,Apr,1370.72670914537,-4998.43994140625,334.811340816173,335.082931719458,22,25.34027777777778,25.6,1,73.5,25.017361111111125,20.2,25.7,0,135,23.15,55.166666666666664,16.128818826944297
2019-04-11,47618,-24.905,-158.615,69,Apr,1378.3134532944,-4945.5,333.585093471838,333.855412583868,23.3,25.53611111111111,25.9,0.5,71.5,22.961805555555564,22.9,25.8,0,75,25.150000000000006,28.642857142857142,7.5941484723981905
2019-04-12,47618,-24.84375,-158.725,70,Apr,1391.33357261939,-4981.18505859375,329.657065926384,329.924958957887,23.3,25.46875,25.8,1.5,74,23.145833333333332,21.8,25.8,0,110,24.325000000000003,44.5,13.022783937848278
2019-04-13,47618,-24.84,-158.895,71,Apr,1408.49268175578,-4836.81005859375,334.114104320046,334.378170443989,18.2,25.44375,25.9,1,245.5,31.833333333333346,14.3,26,0,365,20.112499999999997,160.05555555555554,17.1884328815531
2019-04-14,47618,-24.8875,-159.025,72,Apr,1422.63173100586,-5061.375,343.332160531309,343.593457891862,22.7,25.839583333333334,26.1,1.5,79.5,24.288194444444436,21.8,26.1,0,99,24.71428571428572,37.0625,14.152392911120135
2019-04-15,47618,-25.015,-158.965,73,Apr,1438.04561424885,-4853.12255859375,354.734755593614,354.998639192146,22.7,25.519444444444446,26.1,1,75.5,21.805555555555564,21.7,26.2,0,95,24.37142857142857,37.0625,15.368411593150052
2019-04-16,47618,-25.29,-158.865,74,Apr,1470.23812541197,-4994.3076171875,381.061990602378,381.329721366502,22,25.375,25.9,1,91.5,19.631944444444436,21.2,25.9,0,113,23.912499999999998,44.5,32.08833839520024
2019-04-17,47618,-25.69,-158.685,75,Apr,1518.24539373357,-5142.8076171875,420.13443561165,420.406392649157,22.3,24.898611111111112,25.6,1.5,75,26.630208333333325,21.9,25.7,0,87,24.157142857142855,36.0625,47.865514863245224
2019-04-18,47618,-25.93125,-158.8625,76,Apr,1550.42188151335,-4825.25244140625,449.964297539995,450.23473629225,21.2,24.447222222222223,25,1.5,84,25.15972222222223,20.7,25,0,113,23.349999999999998,44.5,32.1113897605672
2019-04-19,47618,-25.8,-159.03,77,Apr,1572.64501576985,-5084.4951171875,439.932578200525,440.20011122655,20.5,24.216666666666665,25.1,1.5,124.5,28.34027777777776,19.8,25.2,0,155,22.425,62.27777777777778,22.21018904840831
2019-04-20,47618,-25.46,-159.12,78,Apr,1611.51307566573,-5207.076171875,406.44327211073,406.707244514549,22,24.527083333333334,25,1,94,40.881944444444436,20.3,25.2,0,124,23.3875,50.72222222222222,38.7353080674608
2019-04-21,47618,-25.3375,-159.15625,79,Apr,1625.61273520581,-5027.68603515625,394.744374862199,395.006675823192,21.9,24.802777777777777,25.4,1,103,55.673611111111136,21.5,25.5,0,126,24.012499999999996,52.5,14.052066939902215
2019-04-22,47618,-25.365,-159.28,80,Apr,1638.41843198367,-5091.84716796875,401.82326992868,402.119731314149,21.8,24.78125,25,2,127,48.76388888888887,21.9,24.9,1,133,23.887500000000003,54.27777777777778,12.82392261642129
2019-04-23,47618,-25.185,-159.35,81,Apr,1659.63503464773,-4968.6201171875,385.816855603969,386.2124552924,21.7,24.840972222222224,25.3,1.5,107,45.15277777777776,20.4,25.3,0,157,23.425,63.166666666666664,21.14971050501991
2019-04-24,47618,-25.125,-159.48,82,Apr,1674.32221773828,-4894.12255859375,384.945019480318,385.44711315577,21.3,25.02638888888889,25.4,1.5,112,37.26041666666667,19.8,25.4,0,166,23.062500000000004,68.5,14.695901726182374
2019-04-25,47618,-25.1875,-159.783333333333,83,Apr,1705.63319799869,-5206.71728515625,404.767361348674,405.340054608834,20,25.010416666666668,25.5,1.5,142,45.84895833333333,18.7,25.5,0,210,22.350000000000005,85.38888888888889,31.356569288322227
2019-04-26,47618,-25.35,-160.09,84,Apr,1741.37409296454,-5197.31982421875,435.668120348801,436.287107634542,22,24.696527777777778,25.2,1,75,25.47222222222224,20.3,25.2,0,110,23.312499999999996,44.5,35.752720174919865
2019-04-27,47618,-25.375,-160.335,85,Apr,1766.14753727217,-5193.6826171875,451.136587657613,451.801781060485,19.3,24.324305555555554,24.6,1,150.5,27.309027777777768,18.5,24.7,0,186,21.837500000000002,74.72222222222223,24.814736195241764
2019-04-28,47618,-25.345,-160.54,86,Apr,1787.0142158071,-5213.37255859375,457.616631196207,458.570073572393,21.3,23.93888888888889,24.3,1,77.5,28.52777777777776,19.1,24.4,0,143,22.0625,56.94444444444444,20.89997692179821
