"","Date","Ptt","Latitude","Longitude","day.at.liberty","month","DistfromStart","bathy_depth","DistToShelf","DistToShore","MinTemp","MaxTemp","MinDepth","MaxDepth","MeanTempPDT","MeanDepthPDT","DistTravelled","date","rs_gsla","rs_vcur","rs_ucur","rs_current_velocity","rs_current_bearing","rs_sst_interpolated","degree_angle","radius"
"122","2023-04-03",227150,-33.0833333333333,159.55,119,"Apr",723.401447817515,-3006.1875,136.358198006176,170.44977564063,21.1,23.8,37,67,22.8,23.5,2.97756455249899,2023-04-03,0.0523400424213755,0.068972883890559,0.0527978270489677,0.0868612068375361,217.433576517247,23.22,232.566423482753,4.0590498193615
"123","2023-04-04",227150,-33.125,159.575,120,"Apr",728.586849347984,-2947.4375,141.346148328208,175.526529416517,21.2,23.7,39,64,22.4,23.5,5.17688434766706,2023-04-04,0.0553919399386569,0.0688202890146949,0.0793493354493156,0.105035942497386,229.064649284932,23.26,220.935350715068,3.85604930402635
"124","2023-04-05",227150,-33.15,159.55,121,"Apr",732.212611401814,-3158.99755859375,143.623734470523,177.5912254413,20.7,23.6,41,76,22.25,27.6111111111111,3.62342399029118,2023-04-05,0.0759922481803061,0.0192269543588726,0.0927776845253536,0.0947490080148822,258.291935226079,22.9800000000001,191.708064773921,3.34593693293148
"125","2023-04-06",227150,-33.175,159.54375,122,"Apr",735.052709169936,-3178.24755859375,146.249422505381,180.129717922896,21.3,23.4,41,70,22.5,24.6428571428571,2.83331529504734,2023-04-06,0.0761448430561702,0.0173958158485038,0.109563120870401,0.110935530214162,260.978206538322,22.9200000000001,189.021793461678,3.29905265393097
"126","2023-04-07",227150,-33.1875,159.55625,123,"Apr",736.865217569123,-3080.0576171875,147.819747243986,181.762708528543,21.7,23.4,39,67,22.7333333333333,23.5,1.81134676704142,2023-04-07,0.0726351609112966,0.0148017029588146,0.117803244167061,0.118729502427851,262.838448805412,22.9200000000001,187.161551194588,3.26658530148549
"127","2023-04-08",227150,-33.2,159.4875,124,"Apr",743.411701098462,-3508.74755859375,148.121849378792,181.614675979399,21.1,23.6,20,74,22.725,23.1666666666667,6.55901600989688,2023-04-08,0.0639372529870447,-0.0228892313796103,0.131536782994827,0.133513453231416,279.871417026246,22.5600000000001,170.128582973754,2.96930392464437
"128","2023-04-09",227150,-33.2,159.2875,125,"Apr",762.0204875566,-4111.93505859375,146.583635069186,178.545221354982,21.8,23.6,46,68,22.5,26.9285714285714,18.6483570071673,2023-04-09,0.0358597958280561,-0.0753818686768498,0.125585582836128,0.146472402661743,300.973993405203,22.34,149.026006594797,2.60099448617799
"129","2023-04-10",227150,-33.2,159.2,126,"Apr",770.161832634107,-3591,146.664209764722,177.812742910316,21.8,23.4,20,76,NA,NA,8.15865719483857,2023-04-10,0.0297560007934934,-0.0853005356080143,0.131689377870691,0.156902114768998,302.932762507573,22.34,147.067237492427,2.5668075160553
"130","2023-04-11",227150,-33.225,159.23125,127,"Apr",774.18421422957,-4045.18505859375,149.354812356693,180.794245611287,22.1,23.3,41,72,22.8333333333333,25.7857142857143,4.0219090538378,2023-04-11,0.0202951184899211,-0.0982711000564601,0.139929501167351,0.170989690926823,305.079987037598,21.97,144.920012962402,2.52933137822678
"131","2023-04-12",227150,-33.2,159.25,128,"Apr",777.46603750801,-4063.81494140625,146.561745359932,178.185114135144,21.9,23.5,29,74,NA,NA,3.27773188997419,2023-04-12,0.0767552225596265,-0.0898783818839363,0.183571635664474,0.204393417092149,296.086800351991,22.1200000000001,153.913199648009,2.68629209613714
"132","2023-04-13",227150,-33.2,159.26875,129,"Apr",779.210611501688,-4124.2451171875,146.562108905141,178.356536749044,21.8,23.6,41,71,22.9,24.6428571428571,1.74828373320803,2023-04-13,0.0640898478629088,-0.0947614179115865,0.182198281781698,0.205367816876981,297.47896416163,22.1800000000001,152.52103583837,2.66199425393183
"133","2023-04-14",227150,-33.1875,159.28125,130,"Apr",781.023013372654,-4124.2451171875,145.187903507784,177.102475051627,22.4,24,10,84,23.3666666666667,22.1923076923077,1.8112423538335,2023-04-14,0.0560023194421131,-0.0978133154288679,0.188454671692125,0.212326653903305,297.430591770892,22.3500000000001,152.569408229108,2.66283851141727
"134","2023-04-15",227150,-33.175,159.3,131,"Apr",783.25387989328,-4112.81494140625,143.838030817763,175.928028210854,22.1,24.2,13,79,23.18,22.2272727272727,2.23153628125833,2023-04-15,0.0576808630766179,-0.104527489966887,0.182350876657562,0.21018524776149,299.822273117745,22.3800000000001,150.177726882255,2.62109579725615
"135","2023-04-16",227150,-33.15,159.3,132,"Apr",786.033753059394,-4158.2451171875,141.06637294386,173.176135893056,22.5,24.1,36,71,23.4,24.6428571428571,2.77268379914791,2023-04-16,0.0575282682007538,-0.125738177711992,0.183571635664474,0.222505358935157,304.409360427871,22.5300000000001,145.590639572129,2.541036020618
