DeployID,Ptt,DepthSensor,Source,Instr,Count,Start,End,LocationQuality,Latitude,Longitude,MinDepth,MinDepthAccuracy,MaxDepth,MaxDepthAccuracy,MinTemp,MinTempAccuracy,MaxTemp,MaxTempAccuracy,MobMean,MobSD,ActivitySum
47622,47622,0.500000,Transmission,MiniPAT,2,00:00:00 18-May-2019,08:00:00 18-May-2019,,,,0.0,0.00,280.0,3.75,11.3,0.00,29.5,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,1,08:00:00 18-May-2019,16:00:00 18-May-2019,,,,0.0,0.00,384.0,3.75,9.4,0.00,29.3,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,1,16:00:00 18-May-2019,00:00:00 19-May-2019,,,,1.0,0.00,480.0,3.75,8.6,0.00,29.3,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,3,00:00:00 20-May-2019,08:00:00 20-May-2019,,,,0.0,0.00,256.0,3.75,12.4,0.00,29.3,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,5,08:00:00 20-May-2019,16:00:00 20-May-2019,,,,0.0,0.00,272.0,3.75,12.4,0.00,29.0,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,6,16:00:00 20-May-2019,00:00:00 21-May-2019,,,,0.0,0.00,240.0,1.75,13.6,0.00,29.3,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,5,00:00:00 21-May-2019,08:00:00 21-May-2019,,,,0.0,0.00,424.0,3.75,9.1,0.00,29.1,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,4,08:00:00 21-May-2019,16:00:00 21-May-2019,,,,0.0,0.00,272.0,3.75,11.6,0.00,29.0,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,3,16:00:00 21-May-2019,00:00:00 22-May-2019,,,,0.0,0.00,224.0,1.75,12.9,0.00,29.1,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,4,00:00:00 22-May-2019,08:00:00 22-May-2019,,,,0.0,0.00,249.0,2.75,13.1,0.00,29.3,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,2,08:00:00 22-May-2019,16:00:00 22-May-2019,,,,0.0,0.00,244.0,1.75,12.1,0.00,29.0,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,1,16:00:00 22-May-2019,00:00:00 23-May-2019,,,,34.5,0.25,296.0,3.75,11.1,0.00,29.0,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,2,00:00:00 23-May-2019,08:00:00 23-May-2019,,,,0.0,0.00,249.0,2.75,12.8,0.00,29.1,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,4,08:00:00 23-May-2019,16:00:00 23-May-2019,,,,0.0,0.00,232.0,1.75,12.6,0.00,29.0,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,5,16:00:00 23-May-2019,00:00:00 24-May-2019,,,,0.0,0.00,272.0,3.75,10.8,0.00,29.3,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,4,00:00:00 24-May-2019,08:00:00 24-May-2019,,,,0.0,0.00,328.0,3.75,10.1,0.00,29.0,0.00,,,
